orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
165,,Neritidae,Theodoxus fluviatilis,Theodoxus,fluviatilis,,"(Linnaeus, 1758)",16/09/2019,2019,alive,,,,,43.34786987,-3.435980558,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
166,,Planorbidae,Ancylus fluviatilis,Ancylus,fluviatilis,,"O. F. Müller, 1774",16/09/2019,2019,alive,,,,,43.34788132,-3.436022758,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
167,,Discidae,Discus rotundatus,Discus,rotundatus,,"(O. F. Müller, 1774)",16/09/2019,2019,empty shell,1,,,,43.34780884,-3.435978413,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
168,,Gastrodontidae,Aegopinella nitidula,Aegopinella,nitidula,,"(Draparnaud, 1805)",16/09/2019,2019,empty shell,1,1,0,exact,43.34776306,-3.435976028,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
169,,Gastrodontidae,Aegopinella nitidula,Aegopinella,nitidula,,"(Draparnaud, 1805)",16/09/2019,2019,empty shell,6,0,6,exact,43.34599304,-3.43522501,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
170,,Elonidae,Elona quimperiana,Elona,quimperiana,,"(Blainville, 1821)",16/09/2019,2019,empty shell,,,,,43.34579468,-3.435367823,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
171,,Arionidae,Arion rufus/vulgaris,Arion,rufus/vulgaris,,"(Linnaeus, 1758)/Moquin-Tandon, 1857",16/09/2019,2019,alive,,,,,43.34544754,-3.435486555,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large black Arion
172,,Helicidae,Cepaea nemoralis,Cepaea,nemoralis,,"(Linnaeus, 1758)",16/09/2019,2019,empty shell,,,,,43.34552765,-3.435446501,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
173,,Hygromiidae,Hygromia limbata,Hygromia,limbata,,"(Draparnaud, 1805)",16/09/2019,2019,empty shell,1,0,1,exact,43.34397125,-3.436316252,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
174,,Clausiliidae,Clausilia bidentata,Clausilia,bidentata,,"(Strøm, 1765)",16/09/2019,2019,empty shell,,,,,43.34397888,-3.436356306,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
175,,Discidae,Discus rotundatus,Discus,rotundatus,,"(O. F. Müller, 1774)",16/09/2019,2019,empty shell,,,,,43.34370422,-3.436131239,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
176,,Trissexodontidae,Oestophora silvae,Oestophora,silvae,,"Ortiz de Zárate López, 1962",16/09/2019,2019,empty shell,,,,,43.34272003,-3.436607599,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,"a fresh shell found closeby had a reddish brown colour and no callus behind the aperture (to distinguish it from the recently described O. urbionensis Prieto and Arribas, 2020 (Prieto et al., 2020))"
177,,Hygromiidae,Trochulus hispidus,Trochulus,hispidus,,"(Linnaeus, 1758)",16/09/2019,2019,empty shell,,,,,43.34268188,-3.436597347,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
178,,Oxychilidae,Oxychilus navarricus navarricus,Oxychilus,navarricus,navarricus,"(Bourguignat, 1870)",16/09/2019,2019,empty shell,3,1,2,exact,43.34435272,-3.436941147,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,"largest shell horny yellowish, very smooth with shallow suture; finely striated, no point-shaped depressions were visible (to distinguish from O. anjana)"
179,,Gastrodontidae,Aegopinella nitidula,Aegopinella,nitidula,,"(Draparnaud, 1805)",16/09/2019,2019,empty shell,1,1,0,exact,43.34435272,-3.436941147,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
180,,Elonidae,Elona quimperiana,Elona,quimperiana,,"(Blainville, 1821)",16/09/2019,2019,alive,2,0,2,exact,43.34435272,-3.43694592,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
181,,Elonidae,Elona quimperiana,Elona,quimperiana,,"(Blainville, 1821)",16/09/2019,2019,empty shell,6,2,4,exact,43.34435272,-3.43694592,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
182,,Sphaeriidae,Pisidium aff. globulare,Pisidium,aff. globulare,,,16/09/2019,2019,alive,5,4,1,exact,43.34419632,-3.43699193,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,"largest specimen 4-5 mm in length, no plica, pores visible over whole shell; habitat and distribution does not match for P. globulare"
183,,Planorbidae,Ancylus fluviatilis,Ancylus,fluviatilis,,"O. F. Müller, 1775",16/09/2019,2019,empty shell,3,2,1,exact,43.3440361,-3.43697834,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
184,,Trissexodontidae,Oestophora silvae,Oestophora,silvae,,"Ortiz de Zárate López, 1963",16/09/2019,2019,alive,2,0,2,exact,43.34404373,-3.43700051,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,"a fresh shell from the same locality has a reddish brown colour and no callus behind the aperture (to distinguish it from the recently described O. urbionensis Prieto and Arribas, 2020 (Prieto et al., 2020))"
185,,Trissexodontidae,Oestophora silvae,Oestophora,silvae,,"Ortiz de Zárate López, 1964",16/09/2019,2019,empty shell,4,0,4,exact,43.34404373,-3.43700051,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,"one fresh shell has a reddish brown colour and no callus behind the aperture (to distinguish it from the recently described O. urbionensis Prieto and Arribas, 2020 (Prieto et al., 2020))"
186,,Hygromiidae,Trochulus hispidus,Trochulus,hispidus,,"(Linnaeus, 1758)",16/09/2019,2019,empty shell,1,0,1,exact,43.34404373,-3.43700051,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
187,,Clausiliidae,Macrogastra rolphii digonostoma,Macrogastra,rolphii,digonostoma,"(Bourguignat, 1877)",16/09/2019,2019,alive,1,0,1,exact,43.34398651,-3.436951637,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,10,Ward Langeraert,Ward Langeraert,
188,,Arionidae,Arion spec. 2,Arion,,,,16/09/2019,2019,alive,1,0,1,exact,43.34432983,-3.436876535,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,small Arion (Kobeltia) spec. (maybe A. hortensis?)
189,,Hygromiidae,Hygromiidae spec.,,,,,16/09/2019,2019,alive,1,1,0,exact,43.34389444,-3.43705833,25,"Between Pico del Fraile, Marron and Hoz de Marron",Ampuero,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,possibly a juvenile of Hygromia limbata
